Peilmerknummer,X_RD,Y_RD,Punt_status,Punttype,Omschrijving
000A1011,163864.65,540527.95,ACTUEEL,OM,15E X=163864.65 Y=540527.95 OM OUDEMIRDUM BET.PAAL MET BR.KNOP PUT= JA ZAK_R= EIGENDOM
000A1012,163880.63,540553.3,ACTUEEL,OM,15E X=163880.63 Y=540553.30 OM OUDEMIRDUM BET.PAAL MET BR.KNOP PUT= JA ZAK_R= EIGENDOM
000A1013,163906.2,540537.49,ACTUEEL,OM,15E X=163906.20 Y=540537.49 OM OUDEMIRDUM BET.PAAL MET BR.KNOP PUT= JA ZAK_R= EIGENDOM
000A1014,163890.26,540512.33,VERVALLEN,PM,"15E X=163890.26 Y=540512.33 BOVENGR.MRK OUDEMIRDUM ,BOUT IN BET-ZUIL +300MM ,180M ZW-Z OUDE MIRDUMERWG. PUT= NEE ZAK_R= EIGENDOM"
000A1015,163866,540529,ACTUEEL,OM,"15E X=163866 Y=540529 OM OUDEMIRDUM, GRAN.PAAL MET GRAN.KNOP PUT= JA ZAK_R= EIGENDOM"
000A1021,263065.67,575689.45,ACTUEEL,OM,"8C X=263065.67 Y=575689.39 HEILIGERLEE,PUT=JA  ZAK_R= EIGENDOM "
000A1022,263071,575666.55,ACTUEEL,OM,8C X=263070.77 Y=575666.66 HEILIGERLEE PUT= JA  ZAK_R= EIGENDOM 
000A1023,263054,575662.66,ACTUEEL,OM,"8C X=263053.78 Y=575661.99 HEILIGERLEE,PUT= JA  ZAK_R= EIGENDOM "
000A1024,263073.1,575681.77,ACTUEEL,OM,"8C X=263072.86 Y=575681.39,GRAN ZUIL HEILIGERLEE,,PUT=JA,  ZAK_R= EIGENDPM "
000A1025,263045.11,575681.11,ACTUEEL,PM,"8C X=263044.86 Y=575681.14  BOVENGR.MERK HEILIGERLEE 300M BOVEN MV,PUT=NEE  ZAK_R= EIGENDOM "
000A1031,234574,563230,ACTUEEL,OM,"12B X=234573.82 Y=563230.15,OM VRIES,PUT= NEE,PUNT_DIEPTE= 0.70M ONDER MV,VRIJ-T=NEE,LANGE SCHRFDP INGEK./PASSEND GEMAAKT VOOR BETONNEN BESCHERMINGSDEKSEL  ZAK_R= EIGENDOM,FUND-D= 2.05 ONDER MAAIVELD "
000A1032,234605,563225,VERVALLEN,OM,"12B X=234605.42 Y=563224.93,OM VRIES 2 PUT= NEE  ZAK_R= EIGENDOM,FUND-D= 2.05 ONDER MAAIVELD "
000A1033,234600.23,563193.32,VERVALLEN,OM,"12B X=234600.23 Y=563193.32, OM VRIES 3,PUT= NEE  ZAK_R= EIGENDOM "
000A1034,234574.04,563230.91,ACTUEEL,OM,"12B X=234574.04 Y=563230.91,OM GRAN.ZUIL VRIES,PUT=JA  ZAK_R= EIGENDOM "
000A1035,234569,563198,ACTUEEL,PM,"12B X=234568.76 Y=563198.44,OM VRIES 4,PUT=NEE,BET-ZUIL +300MM MV,BET-ZUIL N-Z ASSERSTR,50M ZW-Z HMP 6.4  ZAK_R= EIGENDOM "
000A1036,234605.42,563224.93,ACTUEEL,PM,"12B X=234605.42 Y=563224.93,OM VRIES,NAP BOUT IN ZIJKANT 2008,PUT= NEE  ZAK_R= EIGENDOM,FUND-D= 2.05 ONDER MAAIVELD "
000A1037,234600,563193,ACTUEEL,PM,"12B X=234600.23 Y=563193.32, OM VRIES,NAP BOUT IN ZIJKANT 2008,PUT= NEE  ZAK_R= EIGENDOM "
000A1041,204220,533510,VERVALLEN,OM,"16G X=204220.23 Y=533507.65: OM STEENWIJK, GRAN.ZUIL MET GEPOLIJSTE BOL (ALLE 3), PUT= JA"
000A1042,204197,533519,VERVALLEN,OM,"16G X=204197.36 Y=533518.52,OM STEENWIJK 2 GRAN.ZUIL,,PUT= JA,  ZAK_R= EIGENDOM "
000A1043,204208,533541.5,ACTUEEL,OM,"16G X=204208.25 Y=533541.50,OM STEENWIJK 3 GRAN.ZUIL,,PUT=JA,  ZAK_R= EIGENDOM "
000A1051,224571.65,487301.53,ACTUEEL,OM,"28C X=224571.66 Y=487301.46 OM HELLENDOORN ALMELOSEWEG(N35) HMP 30.1, KRUIZING OUDE DEVENTERWEG GRAN.PAAL,PUT= JA,  ZAK_R=EIGENDOM "
